district_code,shelter_type,max_people,max_days
10,marriage_hall,282,7
10,community_hall,227,10
10,school,51613,14
10,college,32376,21
10,marriage_hall,19803,7
10,community_hall,15956,10
11,school,12578,14
11,college,7889,21
11,marriage_hall,4824,7
11,community_hall,3886,10
11,school,10592,14
11,college,6644,21
11,marriage_hall,4063,7
11,community_hall,3273,10
11,school,1987,14
11,college,1246,21
11,marriage_hall,762,7
11,community_hall,613,10
12,school,23711,14
12,college,14873,21
12,marriage_hall,9096,7
12,community_hall,7328,10
12,school,20332,14
12,college,12755,21
12,marriage_hall,7804,7
12,community_hall,6288,10
12,school,3399,14
12,college,2132,21
12,marriage_hall,1303,7
12,community_hall,1050,10
13,school,11314,14
13,college,7099,21
13,marriage_hall,4348,7
13,community_hall,3505,10
13,school,10622,14
13,college,6664,21
13,marriage_hall,4082,7
13,community_hall,3291,10
13,school,692,14
13,college,434,21
13,marriage_hall,265,7
13,community_hall,214,10
14,school,45574,14
14,college,28585,21
14,marriage_hall,17474,7
14,community_hall,14076,10
14,school,33622,14
14,college,21088,21
14,marriage_hall,12892,7
14,community_hall,10385,10
14,school,11951,14
14,college,7496,21
14,marriage_hall,4582,7
14,community_hall,3691,10
15,school,18085,14
15,college,11349,21
15,marriage_hall,6957,7
15,community_hall,5609,10
15,school,14653,14
15,college,9195,21
15,marriage_hall,5637,7
15,community_hall,4545,10
15,school,3431,14
15,college,2153,21
15,marriage_hall,1319,7
15,community_hall,1063,10
16,school,17591,14
16,college,11044,21
16,marriage_hall,6786,7
16,community_hall,5476,10
16,school,16183,14
16,college,10160,21
16,marriage_hall,6242,7
16,community_hall,5037,10
16,school,1408,14
16,college,884,21
16,marriage_hall,544,7
16,community_hall,439,10
17,school,12180,14
17,college,7647,21
17,marriage_hall,4699,7
17,community_hall,3792,10
17,school,11676,14
17,college,7330,21
17,marriage_hall,4505,7
17,community_hall,3636,10
17,school,504,14
17,college,316,21
17,marriage_hall,194,7
17,community_hall,156,10
18,school,9905,14
18,college,6219,21
18,marriage_hall,3822,7
18,community_hall,3084,10
18,school,9270,14
18,college,5820,21
18,marriage_hall,3577,7
18,community_hall,2887,10
18,school,635,14
18,college,398,21
18,marriage_hall,244,7
18,community_hall,197,10
19,school,23688,14
19,college,14867,21
19,marriage_hall,9118,7
19,community_hall,7354,10
19,school,19054,14
19,college,11958,21
19,marriage_hall,7332,7
19,community_hall,5913,10
19,school,4633,14
19,college,2908,21
19,marriage_hall,1785,7
19,community_hall,1440,10
20,school,13437,14
20,college,8433,21
20,marriage_hall,5173,7
20,community_hall,4172,10
20,school,12281,14
20,college,7708,21
20,marriage_hall,4728,7
20,community_hall,3813,10
20,school,1155,14
20,college,725,21
20,marriage_hall,445,7
20,community_hall,359,10
21,school,65911,14
21,college,41390,21
21,marriage_hall,25462,7
21,community_hall,20558,10
21,school,32987,14
21,college,20716,21
21,marriage_hall,12748,7
21,community_hall,10294,10
21,school,32924,14
21,college,20674,21
21,marriage_hall,12714,7
21,community_hall,10264,10
22,school,13736,14
22,college,8626,21
22,marriage_hall,5306,7
22,community_hall,4284,10
22,school,11432,14
22,college,7179,21
22,marriage_hall,4416,7
22,community_hall,3566,10
22,school,2304,14
22,college,1447,21
22,marriage_hall,889,7
22,community_hall,718,10
23,school,22300,14
23,college,14001,21
23,marriage_hall,8605,7
23,community_hall,6946,10
23,school,20737,14
23,college,13020,21
23,marriage_hall,8001,7
23,community_hall,6457,10
23,school,1562,14
23,college,981,21
23,marriage_hall,604,7
23,community_hall,488,10
24,school,65486,14
24,college,41140,21
24,marriage_hall,25362,7
24,community_hall,20493,10
24,school,61727,14
24,college,38778,21
24,marriage_hall,23903,7
24,community_hall,19314,10
24,school,3758,14
24,college,2362,21
24,marriage_hall,1458,7
24,community_hall,1178,10
25,school,1362,14
25,college,855,21
25,marriage_hall,526,7
25,community_hall,425,10
25,school,1362,14
25,college,855,21
25,marriage_hall,526,7
25,community_hall,425,10
26,school,18938,14
26,college,11895,21
26,marriage_hall,7327,7
26,community_hall,5918,10
26,school,17125,14
26,college,10756,21
26,marriage_hall,6622,7
26,community_hall,5348,10
26,school,1812,14
26,college,1139,21
26,marriage_hall,704,7
26,community_hall,569,10
27,school,43278,14
27,college,27185,21
27,marriage_hall,16749,7
27,community_hall,13531,10
27,school,40541,14
27,college,25465,21
27,marriage_hall,15687,7
27,community_hall,12671,10
27,school,2736,14
27,college,1719,21
27,marriage_hall,1062,7
27,community_hall,859,10
28,school,19773,14
28,college,12424,21
28,marriage_hall,7665,7
28,community_hall,6195,10
28,school,18405,14
28,college,11564,21
28,marriage_hall,7134,7
28,community_hall,5766,10
28,school,1368,14
28,college,859,21
28,marriage_hall,530,7
28,community_hall,428,10
29,school,22501,14
29,college,14132,21
29,marriage_hall,8700,7
29,community_hall,7026,10
29,school,20557,14
29,college,12911,21
29,marriage_hall,7947,7
29,community_hall,6418,10
29,school,1943,14
29,college,1221,21
29,marriage_hall,752,7
29,community_hall,607,10
30,school,16485,14
30,college,10353,21
30,marriage_hall,6373,7
30,community_hall,5146,10
30,school,15393,14
30,college,9667,21
30,marriage_hall,5950,7
30,community_hall,4804,10
30,school,1091,14
30,college,685,21
30,marriage_hall,423,7
30,community_hall,341,10
31,school,25049,14
31,college,15732,21
31,marriage_hall,9684,7
31,community_hall,7820,10
31,school,20574,14
31,college,12919,21
31,marriage_hall,7944,7
31,community_hall,6413,10
31,school,4474,14
31,college,2812,21
31,marriage_hall,1739,7
31,community_hall,1407,10
32,school,22667,14
32,college,14228,21
32,marriage_hall,8733,7
32,community_hall,7045,10
32,school,20183,14
32,college,12668,21
32,marriage_hall,7771,7
32,community_hall,6267,10
32,school,2483,14
32,college,1560,21
32,marriage_hall,962,7
32,community_hall,777,10
33,school,35325,14
33,college,22193,21
33,marriage_hall,13685,7
33,community_hall,11058,10
33,school,26454,14
33,college,16615,21
33,marriage_hall,10228,7
33,community_hall,8260,10
33,school,8871,14
33,college,5578,21
33,marriage_hall,3456,7
33,community_hall,2797,10
34,school,3664,14
34,college,2302,21
34,marriage_hall,1421,7
34,community_hall,1149,10
34,school,3664,14
34,college,2302,21
34,marriage_hall,1421,7
34,community_hall,1149,10
35,school,98587,14
35,college,61894,21
35,marriage_hall,38024,7
35,community_hall,30685,10
35,school,70244,14
35,college,44098,21
35,marriage_hall,27083,7
35,community_hall,21854,10
35,school,28343,14
35,college,17796,21
35,marriage_hall,10940,7
35,community_hall,8831,10
36,school,35126,14
36,college,22059,21
36,marriage_hall,13571,7
36,community_hall,10957,10
36,school,22923,14
36,college,14394,21
36,marriage_hall,8852,7
36,community_hall,7146,10
36,school,12202,14
36,college,7664,21
36,marriage_hall,4719,7
36,community_hall,3811,10
37,school,94668,14
37,college,59456,21
37,marriage_hall,36596,7
37,community_hall,29554,10
37,school,44501,14
37,college,27947,21
37,marriage_hall,17195,7
37,community_hall,13884,10
37,school,50166,14
37,college,31508,21
37,marriage_hall,19401,7
37,community_hall,15669,10
38,school,68519,14
38,college,43035,21
38,marriage_hall,26495,7
38,community_hall,21398,10
38,school,54038,14
38,college,33939,21
38,marriage_hall,20893,7
38,community_hall,16873,10
38,school,14481,14
38,college,9095,21
38,marriage_hall,5601,7
38,community_hall,4524,10
39,school,26434,14
39,college,16602,21
39,marriage_hall,10220,7
39,community_hall,8254,10
39,school,21017,14
39,college,13200,21
39,marriage_hall,8125,7
39,community_hall,6562,10
39,school,5417,14
39,college,3402,21
39,marriage_hall,2095,7
39,community_hall,1692,10
40,school,25778,14
40,college,16185,21
40,marriage_hall,9947,7
40,community_hall,8028,10
40,school,17772,14
40,college,11156,21
40,marriage_hall,6852,7
40,community_hall,5529,10
40,school,8005,14
40,college,5028,21
40,marriage_hall,3095,7
40,community_hall,2499,10
41,school,150701,14
41,college,94636,21
41,marriage_hall,58215,7
41,community_hall,47002,10
41,school,61373,14
41,college,38533,21
41,marriage_hall,23681,7
41,community_hall,19113,10
41,school,89328,14
41,college,56103,21
41,marriage_hall,34533,7
41,community_hall,27888,10
42,school,42728,14
42,college,26826,21
42,marriage_hall,16482,7
42,community_hall,13301,10
42,school,32949,14
42,college,20685,21
42,marriage_hall,12705,7
42,community_hall,10253,10
42,school,9779,14
42,college,6140,21
42,marriage_hall,3776,7
42,community_hall,3048,10
43,school,86952,14
43,college,54586,21
43,marriage_hall,33524,7
43,community_hall,27050,10
43,school,63215,14
43,college,39682,21
43,marriage_hall,24363,7
43,community_hall,19656,10
43,school,23737,14
43,college,14904,21
43,marriage_hall,9160,7
43,community_hall,7393,10
44,school,38691,14
44,college,24291,21
44,marriage_hall,14923,7
44,community_hall,12043,10
44,school,27850,14
44,college,17483,21
44,marriage_hall,10738,7
44,community_hall,8665,10
44,school,10841,14
44,college,6807,21
44,marriage_hall,4184,7
44,community_hall,3377,10
45,school,26513,14
45,college,16646,21
45,marriage_hall,10229,7
45,community_hall,8256,10
45,school,17169,14
45,college,10778,21
45,marriage_hall,6620,7
45,community_hall,5342,10
45,school,9344,14
45,college,5867,21
45,marriage_hall,3609,7
45,community_hall,2913,10
46,school,59649,14
46,college,37452,21
46,marriage_hall,23019,7
46,community_hall,18579,10
46,school,38141,14
46,college,23945,21
46,marriage_hall,14709,7
46,community_hall,11870,10
46,school,21507,14
46,college,13506,21
46,marriage_hall,8309,7
46,community_hall,6708,10
47,school,33034,14
47,college,20740,21
47,marriage_hall,12743,7
47,community_hall,10284,10
47,school,26004,14
47,college,16325,21
47,marriage_hall,10030,7
47,community_hall,8094,10
47,school,7030,14
47,college,4414,21
47,marriage_hall,2713,7
47,community_hall,2190,10
48,school,81411,14
48,college,51115,21
48,marriage_hall,31413,7
48,community_hall,25354,10
48,school,48510,14
48,college,30452,21
48,marriage_hall,18700,7
48,community_hall,15088,10
48,school,32901,14
48,college,20662,21
48,marriage_hall,12713,7
48,community_hall,10265,10
49,school,106959,14
49,college,67155,21
49,marriage_hall,41271,7
49,community_hall,33310,10
49,school,49466,14
49,college,31051,21
49,marriage_hall,19060,7
49,community_hall,15377,10
49,school,57493,14
49,college,36104,21
49,marriage_hall,22210,7
49,community_hall,17932,10
50,school,47836,14
50,college,30024,21
50,marriage_hall,18421,7
50,community_hall,14859,10
50,school,41763,14
50,college,26212,21
50,marriage_hall,16080,7
50,community_hall,12970,10
50,school,6073,14
50,college,3812,21
50,marriage_hall,2340,7
50,community_hall,1888,10
51,school,29419,14
51,college,18472,21
51,marriage_hall,11354,7
51,community_hall,9164,10
51,school,21740,14
51,college,13648,21
51,marriage_hall,8384,7
51,community_hall,6766,10
51,school,7679,14
51,college,4823,21
51,marriage_hall,2969,7
51,community_hall,2398,10
52,school,42866,14
52,college,26919,21
52,marriage_hall,16562,7
52,community_hall,13373,10
52,school,19277,14
52,college,12101,21
52,marriage_hall,7431,7
52,community_hall,5996,10
52,school,23588,14
52,college,14818,21
52,marriage_hall,9131,7
52,community_hall,7377,10
53,school,70989,14
53,college,44567,21
53,marriage_hall,27378,7
53,community_hall,22094,10
53,school,48836,14
53,college,30658,21
53,marriage_hall,18830,7
53,community_hall,15195,10
53,school,22153,14
53,college,13909,21
53,marriage_hall,8547,7
53,community_hall,6898,10
54,school,25558,14
54,college,16046,21
54,marriage_hall,9859,7
54,community_hall,7956,10
54,school,17343,14
54,college,10887,21
54,marriage_hall,6685,7
54,community_hall,5394,10
54,school,8214,14
54,college,5158,21
54,marriage_hall,3173,7
54,community_hall,2562,10
55,school,45835,14
55,college,28797,21
55,marriage_hall,17761,7
55,community_hall,14353,10
55,school,1266,14
55,college,796,21
55,marriage_hall,491,7
55,community_hall,397,10
55,school,44568,14
55,college,28001,21
55,marriage_hall,17269,7
55,community_hall,13955,10
56,school,14217,14
56,college,8928,21
56,marriage_hall,5492,7
56,community_hall,4434,10
56,school,13159,14
56,college,8263,21
56,marriage_hall,5082,7
56,community_hall,4102,10
56,school,1057,14
56,college,664,21
56,marriage_hall,410,7
56,community_hall,331,10
57,school,16998,14
57,college,10679,21
57,marriage_hall,6585,7
57,community_hall,5322,10
57,school,14403,14
57,college,9048,21
57,marriage_hall,5577,7
57,community_hall,4506,10
57,school,2595,14
57,college,1631,21
57,marriage_hall,1008,7
57,community_hall,815,10
58,school,10494,14
58,college,6592,21
58,marriage_hall,4062,7
58,community_hall,3282,10
58,school,10057,14
58,college,6317,21
58,marriage_hall,3892,7
58,community_hall,3144,10
58,school,436,14
58,college,274,21
58,marriage_hall,170,7
58,community_hall,137,10
59,school,26747,14
59,college,16800,21
59,marriage_hall,10345,7
59,community_hall,8356,10
59,school,23687,14
59,college,14876,21
59,marriage_hall,9157,7
59,community_hall,7395,10
59,school,3060,14
59,college,1923,21
59,marriage_hall,1188,7
59,community_hall,960,10
60,school,73072,14
60,college,45887,21
60,marriage_hall,28226,7
60,community_hall,22789,10
60,school,32351,14
60,college,20309,21
60,marriage_hall,12474,7
60,community_hall,10065,10
60,school,40720,14
60,college,25577,21
60,marriage_hall,15752,7
60,community_hall,12723,10
61,school,29917,14
61,college,18799,21
61,marriage_hall,11603,7
61,community_hall,9379,10
61,school,25025,14
61,college,15726,21
61,marriage_hall,9707,7
61,community_hall,7848,10
61,school,4892,14
61,college,3073,21
61,marriage_hall,1895,7
61,community_hall,1531,10
62,school,21058,14
62,college,13233,21
62,marriage_hall,8169,7
62,community_hall,6604,10
62,school,18007,14
62,college,11315,21
62,marriage_hall,6983,7
62,community_hall,5644,10
62,school,3050,14
62,college,1917,21
62,marriage_hall,1186,7
62,community_hall,959,10
63,school,11266,14
63,college,7077,21
63,marriage_hall,4362,7
63,community_hall,3525,10
63,school,10872,14
63,college,6830,21
63,marriage_hall,4210,7
63,community_hall,3401,10
63,school,393,14
63,college,247,21
63,marriage_hall,152,7
63,community_hall,123,10
64,school,27008,14
64,college,16968,21
64,marriage_hall,10462,7
64,community_hall,8454,10
64,school,24285,14
64,college,15256,21
64,marriage_hall,9404,7
64,community_hall,7598,10
64,school,2723,14
64,college,1711,21
64,marriage_hall,1057,7
64,community_hall,855,10
65,school,11195,14
65,college,7030,21
65,marriage_hall,4326,7
65,community_hall,3493,10
65,school,9538,14
65,college,5990,21
65,marriage_hall,3685,7
65,community_hall,2975,10
65,school,1656,14
65,college,1040,21
65,marriage_hall,640,7
65,community_hall,517,10
66,school,41054,14
66,college,25778,21
66,marriage_hall,15850,7
66,community_hall,12794,10
66,school,25039,14
66,college,15721,21
66,marriage_hall,9662,7
66,community_hall,7799,10
66,school,16015,14
66,college,10057,21
66,marriage_hall,6187,7
66,community_hall,4995,10
67,school,70584,14
67,college,44308,21
67,marriage_hall,27202,7
67,community_hall,21946,10
67,school,45465,14
67,college,28540,21
67,marriage_hall,17521,7
67,community_hall,14136,10
67,school,25119,14
67,college,15768,21
67,marriage_hall,9680,7
67,community_hall,7810,10
68,school,80688,14
68,college,50641,21
68,marriage_hall,31061,7
68,community_hall,25051,10
68,school,50960,14
68,college,31977,21
68,marriage_hall,19595,7
68,community_hall,15799,10
68,school,29728,14
68,college,18663,21
68,marriage_hall,11465,7
68,community_hall,9252,10
69,school,24208,14
69,college,15203,21
69,marriage_hall,9356,7
69,community_hall,7555,10
69,school,10614,14
69,college,6663,21
69,marriage_hall,4090,7
69,community_hall,3299,10
69,school,13593,14
69,college,8540,21
69,marriage_hall,5266,7
69,community_hall,4255,10
70,school,48499,14
70,college,30452,21
70,marriage_hall,18719,7
70,community_hall,15110,10
70,school,26868,14
70,college,16866,21
70,marriage_hall,10355,7
70,community_hall,8354,10
70,school,21630,14
70,college,13585,21
70,marriage_hall,8364,7
70,community_hall,6755,10
71,school,52099,14
71,college,32709,21
71,marriage_hall,20096,7
71,community_hall,16218,10
71,school,31704,14
71,college,19900,21
71,marriage_hall,12213,7
71,community_hall,9853,10
71,school,20394,14
71,college,12808,21
71,marriage_hall,7882,7
71,community_hall,6365,10
72,school,41408,14
72,college,25997,21
72,marriage_hall,15974,7
72,community_hall,12892,10
72,school,29379,14
72,college,18443,21
72,marriage_hall,11328,7
72,community_hall,9140,10
72,school,12028,14
72,college,7553,21
72,marriage_hall,4646,7
72,community_hall,3751,10
73,school,46036,14
73,college,28900,21
73,marriage_hall,17748,7
73,community_hall,14321,10
73,school,35902,14
73,college,22537,21
73,marriage_hall,13838,7
73,community_hall,11165,10
73,school,10134,14
73,college,6362,21
73,marriage_hall,3910,7
73,community_hall,3155,10
74,school,64594,14
74,college,40553,21
74,marriage_hall,24916,7
74,community_hall,20108,10
74,school,44999,14
74,college,28248,21
74,marriage_hall,17346,7
74,community_hall,13996,10
74,school,19594,14
74,college,12305,21
74,marriage_hall,7570,7
74,community_hall,6112,10
75,school,51752,14
75,college,32492,21
75,marriage_hall,19966,7
75,community_hall,16114,10
75,school,27842,14
75,college,17477,21
75,marriage_hall,10730,7
75,community_hall,8657,10
75,school,23909,14
75,college,15014,21
75,marriage_hall,9236,7
75,community_hall,7457,10
76,school,62165,14
76,college,39027,21
76,marriage_hall,23971,7
76,community_hall,19344,10
76,school,42678,14
76,college,26791,21
76,marriage_hall,16449,7
76,community_hall,13272,10
76,school,19487,14
76,college,12235,21
76,marriage_hall,7521,7
76,community_hall,6071,10
77,school,57112,14
77,college,35851,21
77,marriage_hall,22010,7
77,community_hall,17757,10
77,school,44005,14
77,college,27622,21
77,marriage_hall,16955,7
77,community_hall,13678,10
77,school,13106,14
77,college,8228,21
77,marriage_hall,5054,7
77,community_hall,4079,10
78,school,40389,14
78,college,25356,21
78,marriage_hall,15575,7
78,community_hall,12568,10
78,school,32673,14
78,college,20511,21
78,marriage_hall,12597,7
78,community_hall,10165,10
78,school,7716,14
78,college,4844,21
78,marriage_hall,2977,7
78,community_hall,2403,10
79,school,55506,14
79,college,34845,21
79,marriage_hall,21400,7
79,community_hall,17268,10
79,school,41790,14
79,college,26233,21
79,marriage_hall,16107,7
79,community_hall,12995,10
79,school,13716,14
79,college,8611,21
79,marriage_hall,5293,7
79,community_hall,4272,10
80,school,74791,14
80,college,46954,21
80,marriage_hall,28843,7
80,community_hall,23276,10
80,school,51002,14
80,college,32017,21
80,marriage_hall,19661,7
80,community_hall,15864,10
80,school,23788,14
80,college,14936,21
80,marriage_hall,9181,7
80,community_hall,7411,10
81,school,70048,14
81,college,43974,21
81,marriage_hall,27007,7
81,community_hall,21793,10
81,school,56246,14
81,college,35309,21
81,marriage_hall,21681,7
81,community_hall,17494,10
81,school,13801,14
81,college,8665,21
81,marriage_hall,5325,7
81,community_hall,4298,10
82,school,45552,14
82,college,28599,21
82,marriage_hall,17573,7
82,community_hall,14183,10
82,school,26363,14
82,college,16550,21
82,marriage_hall,10165,7
82,community_hall,8202,10
82,school,19189,14
82,college,12049,21
82,marriage_hall,7408,7
82,community_hall,5980,10
83,school,41116,14
83,college,25813,21
83,marriage_hall,15858,7
83,community_hall,12798,10
83,school,30650,14
83,college,19241,21
83,marriage_hall,11818,7
83,community_hall,9536,10
83,school,10466,14
83,college,6571,21
83,marriage_hall,4040,7
83,community_hall,3261,10
84,school,39459,14
84,college,24769,21
84,marriage_hall,15205,7
84,community_hall,12267,10
84,school,33776,14
84,college,21202,21
84,marriage_hall,13015,7
84,community_hall,10500,10
84,school,5683,14
84,college,3567,21
84,marriage_hall,2189,7
84,community_hall,1766,10
85,school,38683,14
85,college,24288,21
85,marriage_hall,14929,7
85,community_hall,12050,10
85,school,28630,14
85,college,17975,21
85,marriage_hall,11045,7
85,community_hall,8914,10
85,school,10053,14
85,college,6313,21
85,marriage_hall,3883,7
85,community_hall,3135,10
86,school,65473,14
86,college,41125,21
86,marriage_hall,25327,7
86,community_hall,20458,10
86,school,20217,14
86,college,12691,21
86,marriage_hall,7792,7
86,community_hall,6286,10
86,school,45256,14
86,college,28433,21
86,marriage_hall,17535,7
86,community_hall,14171,10
87,school,46021,14
87,college,28865,21
87,marriage_hall,17646,7
87,community_hall,14214,10
87,school,40777,14
87,college,25576,21
87,marriage_hall,15635,7
87,community_hall,12595,10
87,school,5268,14
87,college,3305,21
87,marriage_hall,2024,7
87,community_hall,1631,10
88,school,77773,14
88,college,48832,21
88,marriage_hall,30017,7
88,community_hall,24229,10
88,school,15785,14
88,college,9905,21
88,marriage_hall,6070,7
88,community_hall,4894,10
88,school,61987,14
88,college,38926,21
88,marriage_hall,23947,7
88,community_hall,19335,10
89,school,44275,14
89,college,27779,21
89,marriage_hall,17009,7
89,community_hall,13710,10
89,school,34192,14
89,college,21451,21
89,marriage_hall,13130,7
89,community_hall,10581,10
89,school,10083,14
89,college,6328,21
89,marriage_hall,3879,7
89,community_hall,3128,10
90,school,157305,14
90,college,98776,21
90,marriage_hall,60738,7
90,community_hall,49032,10
90,school,9165,14
90,college,5753,21
90,marriage_hall,3533,7
90,community_hall,2850,10
90,school,148139,14
90,college,93022,21
90,marriage_hall,57204,7
90,community_hall,46181,10
91,school,38219,14
91,college,23999,21
91,marriage_hall,14760,7
91,community_hall,11916,10
91,school,759,14
91,college,476,21
91,marriage_hall,292,7
91,community_hall,236,10
91,school,37460,14
91,college,23523,21
91,marriage_hall,14467,7
91,community_hall,11679,10
92,school,95756,14
92,college,60101,21
92,marriage_hall,36873,7
92,community_hall,29742,10
92,school,920,14
92,college,577,21
92,marriage_hall,354,7
92,community_hall,285,10
92,school,94836,14
92,college,59524,21
92,marriage_hall,36518,7
92,community_hall,29456,10
93,school,73757,14
93,college,46323,21
93,marriage_hall,28511,7
93,community_hall,23024,10
93,school,154,14
93,college,97,21
93,marriage_hall,59,7
93,community_hall,48,10
93,school,73603,14
93,college,46226,21
93,marriage_hall,28451,7
93,community_hall,22976,10
94,school,6178,14
94,college,3882,21
94,marriage_hall,2395,7
94,community_hall,1936,10
94,school,6178,14
94,college,3882,21
94,marriage_hall,2395,7
94,community_hall,1936,10
95,school,25087,14
95,college,15754,21
95,marriage_hall,9691,7
95,community_hall,7825,10
95,school,25087,14
95,college,15754,21
95,marriage_hall,9691,7
95,community_hall,7825,10
96,school,109728,14
96,college,68913,21
96,marriage_hall,42414,7
96,community_hall,34251,10
96,school,274,14
96,college,172,21
96,marriage_hall,105,7
96,community_hall,85,10
96,school,109453,14
96,college,68741,21
96,marriage_hall,42308,7
96,community_hall,34166,10
97,school,99134,14
97,college,62268,21
97,marriage_hall,38349,7
97,community_hall,30976,10
97,school,6156,14
97,college,3865,21
97,marriage_hall,2373,7
97,community_hall,1915,10
97,school,92978,14
97,college,58403,21
97,marriage_hall,35976,7
97,community_hall,29061,10
98,school,117889,14
98,college,74039,21
98,marriage_hall,45571,7
98,community_hall,36802,10
98,school,524,14
98,college,329,21
98,marriage_hall,202,7
98,community_hall,163,10
98,school,117364,14
98,college,73710,21
98,marriage_hall,45369,7
98,community_hall,36638,10
99,school,84579,14
99,college,53104,21
99,marriage_hall,32637,7
99,community_hall,26342,10
99,school,61533,14
99,college,38632,21
99,marriage_hall,23737,7
99,community_hall,19157,10
99,school,23046,14
99,college,14471,21
99,marriage_hall,8900,7
99,community_hall,7185,10
100,school,76030,14
100,college,47729,21
100,marriage_hall,29309,7
100,community_hall,23649,10
100,school,60994,14
100,college,38289,21
100,marriage_hall,23510,7
100,community_hall,18969,10
100,school,15036,14
100,college,9439,21
100,marriage_hall,5799,7
100,community_hall,4680,10
101,school,100331,14
101,college,62947,21
101,marriage_hall,38538,7
101,community_hall,31061,10
101,school,66216,14
101,college,41538,21
101,marriage_hall,25413,7
101,community_hall,20477,10
101,school,34114,14
101,college,21409,21
101,marriage_hall,13125,7
101,community_hall,10584,10
102,school,86816,14
102,college,54478,21
102,marriage_hall,33385,7
102,community_hall,26917,10
102,school,62370,14
102,college,39141,21
102,marriage_hall,23996,7
102,community_hall,19350,10
102,school,24446,14
102,college,15337,21
102,marriage_hall,9388,7
102,community_hall,7566,10
103,school,91244,14
103,college,57268,21
103,marriage_hall,35129,7
103,community_hall,28333,10
103,school,70430,14
103,college,44207,21
103,marriage_hall,27125,7
103,community_hall,21881,10
103,school,20814,14
103,college,13060,21
103,marriage_hall,8003,7
103,community_hall,6452,10
104,school,156562,14
104,college,98251,21
104,marriage_hall,60230,7
104,community_hall,48568,10
104,school,128461,14
104,college,80608,21
104,marriage_hall,49388,7
104,community_hall,39817,10
104,school,28101,14
104,college,17643,21
104,marriage_hall,10842,7
104,community_hall,8750,10
105,school,108319,14
105,college,67965,21
105,marriage_hall,41630,7
105,community_hall,33559,10
105,school,87214,14
105,college,54720,21
105,marriage_hall,33509,7
105,community_hall,27011,10
105,school,21104,14
105,college,13244,21
105,marriage_hall,8120,7
105,community_hall,6548,10
106,school,51316,14
106,college,32200,21
106,marriage_hall,19727,7
106,community_hall,15904,10
106,school,40795,14
106,college,25598,21
106,marriage_hall,15683,7
106,community_hall,12644,10
106,school,10521,14
106,college,6601,21
106,marriage_hall,4044,7
106,community_hall,3260,10
107,school,62267,14
107,college,39081,21
107,marriage_hall,23973,7
107,community_hall,19336,10
107,school,52974,14
107,college,33249,21
107,marriage_hall,20398,7
107,community_hall,16453,10
107,school,9293,14
107,college,5831,21
107,marriage_hall,3575,7
107,community_hall,2882,10
108,school,57242,14
108,college,35935,21
108,marriage_hall,22070,7
108,community_hall,17809,10
108,school,45855,14
108,college,28788,21
108,marriage_hall,17685,7
108,community_hall,14271,10
108,school,11387,14
108,college,7147,21
